ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
AGUASCALIENTES,COSIO,PRI,ANDRES DE SANTIAGO DE LUNA,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,COSIO,PRI,ARNULFO CERVANTES ADAME,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,COSIO,PRI,CARLOS ESTRADA VALDEZ,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,COSIO,PRI,PABLO CORTES DE LA CRUZ,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,COSIO,PVEM,EUSEBIO ENRIQUE DELGADO ESPARZA,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,COSIO,PVEM,EUSEBIO ENRIQUE DELGADO ESPARZA,del 15-Oct-2021 al 14-Oct-2024,2021
AGUASCALIENTES,EL LLANO,AXTB,JOSE LUIS MARTINEZ RODRIGUEZ,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,EL LLANO,CAGYPT,RAMIRO SALAS PIZAÑA,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,EL LLANO,COAL,CEZAR PEDROZA  ORTEGA,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,EL LLANO,PAN,JOSE DE JESUS RODRIGUEZ ONTIVEROS,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,EL LLANO,PRI,FRANCISCO SILVA MURILLO,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,EL LLANO,PRI,FRANCISCO SILVA MURILLO,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,EL LLANO,PRI,JOSE MANUEL MARTINEZ RODRIGUEZ,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,EL LLANO,PRI,JUAN MANUEL RAMOS MIRELES,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,EL LLANO,PRI,SALVADOR MARTIN DEL CAMPO,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,EL LLANO,PT,CEZAR PEDROZA ORTEGA,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,EL LLANO,PT,CEZAR PEDROZA ORTEGA,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,JESUS MARIA,AXTB,MARTIN GERARDO CHAVEZ DEL BOSQUE,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,JESUS MARIA,COAL,JOSE ANTONIO ARAMBULA LOPEZ,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,JESUS MARIA,PAN,JOSE ANTONIO ARAMBULA LOPEZ,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,JESUS MARIA,PAN,JOSE LUIS MARES MEDINA,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,JESUS MARIA,PAN,LUIS FERNANDO FLORES MARTINEZ,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,JESUS MARIA,PAN,NOEL MATA ATILANO,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,JESUS MARIA,PRI,CARLOS ARMANDO DE LUNA LOERA,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,JESUS MARIA,PRI,GILBERTO RODRIGUEZ DOMINGUEZ,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,JESUS MARIA,PRI,GREGORIO ZAMARRIPA DELGADO,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,JESUS MARIA,PRI,JOSE ACEVES JIMENEZ,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,JESUS MARIA,UPT,JOSE ANTONIO ARAMBULA LOPEZ,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,PABELLON DE ARTEAGA,AAA,ARTURO FERNANDEZ ESTRADA,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,PABELLON DE ARTEAGA,AXTB,HECTOR RAUL GARCIA LUNA,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,PABELLON DE ARTEAGA,PAN,EDUARDO CONSTANTINO TORRES CAMPOS,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,PABELLON DE ARTEAGA,PNA,SERGIO MORENO SERNA,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,PABELLON DE ARTEAGA,PRD,CUAUHTEMOC ESCOBEDO TEJADA,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,PABELLON DE ARTEAGA,PRD,CUAUHTEMOC ESCOBEDO TEJEDA,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,PABELLON DE ARTEAGA,PRI,ARTURO ROBLES AGUILAR,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,PABELLON DE ARTEAGA,PRI,FAUSTINO QUEZADA CHAVEZ,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,PABELLON DE ARTEAGA,PRI,FELIPE DE JESUS ORTEGA SAUCEDO,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,PABELLON DE ARTEAGA,PRI,HUMBERTO AMBRIZ  DELGADILLO,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,PABELLON DE ARTEAGA,PRI,JOSE MEDINA ESPARZA,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,RINCON DE ROMOS,AXTB,ROBERTO ROMO MARIN,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,RINCON DE ROMOS,CAGYPT,FRANCISCO JAVIER RIVERA LUEVANO,del 01-Ene-2017 al 14-Oct-2019,2017
