ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
MICHOACAN DE OCAMPO,CHARAPAN,COALICIoN,GUSTAVO GONZALEZ MEDINA,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHARAPAN,PRD,CARLOS MORALES BONAPARTE,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHARAPAN,PRD,FLORENCIO CACHO OCHOA,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHARAPAN,PRD,LEONARDO MULATO GONZALEZ,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHARAPAN,PRI,J DOLORES GOMEZ RAMIREZ,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHARAPAN,PRI,TEODORO GALINDO GERONIMO,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHARAPAN,PT,JUAN CARLOS HERNANDEZ RODRIGUEZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHARAPAN,PVEM,JOSUE EMMANUEL BALBOA ALVAREZ,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHARO,CI,SALVADOR CORTES ESPINDOLA,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHARO,COAL,RAMON HERNANDEZ YEPEZ,del 01-Sep-2018 al 31-Ago-2021,2018
MICHOACAN DE OCAMPO,CHARO,CUPM,BENJAMIN CHAVEZ MONTERO,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHARO,MNU,RAUL PRIETO GOMEZ,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHARO,PAN,FELIPE GUILLEN TAPIA,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHARO,PAN,JOSE LUIS HERNANDEZ YEPEZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHARO,PAN,RAMON HERNANDEZ YEPEZ,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHARO,PAN,RAMON HERNANDEZ YEPEZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHARO,PRI,J JUAN YEPEZ RAMIREZ,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHARO,PRI,JOSE VICTOR GARCIA YEPEZ,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHAVINDA,CC,JOSE LUIS CASTILLO GARCIA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHAVINDA,COAL,JAIME SILVA GIL,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHAVINDA,COAL,JESUS GIL DEL TORO,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHAVINDA,COAL,JOSE LUIS CASTILLO GARCIA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHAVINDA,PAN,LUIS DIAZ TORRES,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHAVINDA,PRD,AGAPITO HERNANDEZ BARRAGAN,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHAVINDA,PRI,ALFONSO GIL CENDEJAS,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHAVINDA,PRI,JOSE ESPINOZA GIL,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHAVINDA,PRI,LUIS MACIEL MENDOZA,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHAVINDA,PRI,RAMON RAMOS PEREZ,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHERAN,CM,HECTOR DURAN JUAREZ,del 05-Feb-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHERAN,CM,SALVADOR CUSTODIO RAMOS,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHERAN,CUPM,J GUADALUPE TEHANDON CHAPINA,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHERAN,PRD,FRANCISCO SERVIN GUARDIAN,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHERAN,PRD,JOSE CRISTOBAL SERVIN HERNANDEZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHERAN,PRD,LEOPOLDO JUAREZ URBINA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHERAN,PRD,SALVADOR CAMPANUR SANCHEZ,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHERAN,PRI,ROBERTO BAUTISTA CHAPINA,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHERAN,UYC,PEDRO CHAVEZ SANCHEZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHILCHOTA,CC,ROBERTO RUBIO MAGAÑA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHILCHOTA,COAL,EDUARDO IXTA ALVAREZ,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHILCHOTA,COAL,MIGUEL ANGEL RAMOS ALEJO,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHILCHOTA,PRD,DOMINGO SANTIAGO GREGORIO,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHILCHOTA,PRD,GONZALO HERRERA PEREZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHILCHOTA,PRD,RAUL NUCI TZINZUN,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHILCHOTA,PRI,FELIPE IXTA MEDINA,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHILCHOTA,PRI,JORGE MAGAÑA IXTA,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHILCHOTA,PRI,MARIO SILVA AMEZCUA,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHILCHOTA,PRI,PEDRO VILLALOBOS BAUTISTA,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHINICUILA,COAL,ADALBERTO ESPINDOLA MENDOZA,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHINICUILA,COAL,J JESUS PRECIADO MARMOLEJO,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHINICUILA,COAL,JOSE ANTONIO MEDINA GARCIA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHINICUILA,CUPM,JUAN ALONSO CERVANTES,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHINICUILA,MNU,JUSTO HUMBERTO VIRGEN CERRILLOS,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHINICUILA,PES,RUBEN DARIO LARIOS GARCIA,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHINICUILA,PRD,FRANCISCO CAMPOS RUIZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHINICUILA,PRI,JOSE DE JESUS GARCIA ESPARZA,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHINICUILA,PRI,RICARDO LARIOS OSEGUERA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHINICUILA,PRI,RICARDO LARIOS OSEGUERA,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHUCANDIRO,CC,J GUADALUPE GARCIA ARROYO,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHUCANDIRO,COAL,GUADALUPE LOPEZ GONZALEZ,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHUCANDIRO,COAL,SALVADOR VALLEJO VILLALOBOS,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHUCANDIRO,COALICIoN,SAUL TORRES CHAVEZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHUCANDIRO,CUPM,BALDOMERO HURTADO CALDERON,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHUCANDIRO,PRD,ARCADIO TORRES DAVILA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHUCANDIRO,PRD,BALDOMERO HURTADO CALDERON,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHUCANDIRO,PRI,AGUSTIN GARCIA AMBRIZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHUCANDIRO,PRI,SOYLA GUILLEN GUZMAN,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHUCANDIRO,PVEM,IVAN GUADALUPE LOPEZ COLIN,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHURINTZIO,COAL,ALEJANDRA PIMENTEL ESPINOZA,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHURINTZIO,COAL,ALFONSO GUILLERMO AVIÑA ALFARO,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHURINTZIO,COAL,JUAN LUIS CONTRERAS CALDERON,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CHURINTZIO,COAL,SALVADOR PULIDO PIMENTEL,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHURINTZIO,CUPM,J JESUS HEREDIA HEREDIA,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHURINTZIO,MNU,JUAN LUIS CONTRERAS CALDERON,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHURINTZIO,PRD,JOSE LUIS HEREDIA CORTES,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHURINTZIO,PRD,LUIS MUÑIZ ARROYO,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHURINTZIO,PRD,MARIO CENDEJAS GUZMAN,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHURINTZIO,PRI,ANDRES SOLORIO ARROYO,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHURUMUCO,CC,GILDARDO BARRERA ESTRADA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CHURUMUCO,CC,RODIMIRO BARRERA ESTRADA,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CHURUMUCO,COAL,GILMAR TORRES ABARCA,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CHURUMUCO,PRD,ELEODORO PINEDA OCHOA,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CHURUMUCO,PRD,HECTOR TORRES CAMACHO,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CHURUMUCO,PRD,JOSE REYES RIVERA,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CHURUMUCO,PRD,LUIS ROBERTO REYES CRUZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CHURUMUCO,PRI,GUILLERMO TORRES ROJAS,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CHURUMUCO,PRI,NEMESIO SOSA ROSAS,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CHURUMUCO,PRI,RODIMIRO BARRERA ESTRADA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,COAHUAYANA,CC,ANDRES CARDENAS GUERRERO,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,COAHUAYANA,COAL,PORFIRIO MENDOZA ZAMBRANO,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,COAHUAYANA,CUPM,ELIAS LOPEZ MENDOZA,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,COAHUAYANA,FXM,GILDARDO RUIZ VELAZQUEZ,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,COAHUAYANA,PNA,ROBERTO NEVAREZ DOMINGUEZ,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,COAHUAYANA,PRD,JOSE MARIA VERGARA ZAMBRANO,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,COAHUAYANA,PRD,RAMON GOMEZ ABUNDIS,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,COAHUAYANA,PRI,AUDEL MENDEZ CHAVEZ,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,COAHUAYANA,PRI,DOMINGO MAGALLON LOPEZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,COAHUAYANA,PRI,JACINTO DELGADO PUENTE,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,COAL,JOSE MISAEL GONZALEZ FERNANDEZ,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,COAL,JOSE MISAEL GONZALEZ FERNANDEZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,COALICIoN,AMANDO OSEGUERA ALVAREZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,MNU,RAFAEL GARCIA ZAMORA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,PRD,JUAN MANUEL BARAJAS ARREOLA,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,PRD,MARIA OBDULIA ESQUIVEL COLIN,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,PRD,ULISES GUTIERREZ MARTINEZ,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,PRI,AGUSTIN BAUTISTA ESPINOZA,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,PRI,JOSE ANTONIO MORALES ARTEAGA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,COALCOMAN DE VAZQUEZ PALLARES,PRI,JOSE DE JESUS BARRETO VALENCIA,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,COENEO,COAL,ARIEL TRUJILLO CORDOVA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,COENEO,COAL,ARIEL TRUJILLO CORDOVA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,COENEO,COAL,JOSE LUIS VEGA TORRES,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,COENEO,COAL,MARCELA VELAZQUEZ VAZQUEZ,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,COENEO,COAL,MARTIN VARGAS NAVARRETE,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,COENEO,PRD,FRANCISCO CERVANTES BARRIGA,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,COENEO,PRD,LEOPOLDO HERNANDEZ HERNANDEZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,COENEO,PRD,VICTOR TELLEZ CASTILLO,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,COENEO,PRI,J RAUL HERNANDEZ FLORES,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,COENEO,PRI,MARIO GARCIA JUAREZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,COAL,ANA LILIA MANZO MARTINEZ,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,COAL,ENRIQUE MUJICA SANCHEZ,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,COAL,ENRIQUE MUJICA SANCHEZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,COALICIoN,LEONARDO HERNANDEZ MACIEL,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,CUPM,ENRIQUE MUJICA SANCHEZ,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,MNU,ANA LILIA MANZO MARTINEZ,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,PRD,ENRIQUE MUJICA SANCHEZ,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,PRD,ENRIQUE MUJICA SANCHEZ,del 01-Sep-2018 al 31-Ago-2021,2018
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,PRD,FRANCISCO JAVIER GARCIA BASULTO,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,COJUMATLAN DE REGULES,PRI,JOSE ANTONIO LLAMAS TORRES,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CONTEPEC,CC,FELIPE DE JESUS CONTRERAS CORREA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CONTEPEC,COAL,ENRIQUE VELAZQUEZ OROZCO,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CONTEPEC,COAL,FRANCISCO BOLAÑOS CARMONA,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CONTEPEC,COAL,RUBEN RODRIGUEZ JIMENEZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CONTEPEC,COALICIoN,DANIEL HUITRON ROMERO,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CONTEPEC,CUPM,GUSTAVO ARIAS GARDUÑO,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CONTEPEC,PRD,MIGUEL CORREA VAZQUEZ,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,CONTEPEC,PRI,MARTIN MALDONADO MEDINA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CONTEPEC,PRI,ROBERTO VELAZQUEZ PEREZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CONTEPEC,PRI,RUBEN RODRIGUEZ JIMENEZ,del 01-Sep-2018 al 31-Ago-2021,2018
MICHOACAN DE OCAMPO,COPANDARO,CC,ARMANDO FERREIRA ACOSTA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,COPANDARO,COAL,DAVID GARCIA GARCIA,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,COPANDARO,COAL,FRANCISCO JAVIER ACOSTA VIVEROS,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,COPANDARO,COAL,MIRNA VIOLETA ACOSTA TENA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,COPANDARO,COALICIoN,JOSE BALDEMAR FERREYRA ACOSTA,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,COPANDARO,PRD,ADOLFO MEDINA GARCIA,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,COPANDARO,PRD,LUIS ORTIZ HURTADO,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,COPANDARO,PRI,CLEMENTE GARCIA GARCIA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,COPANDARO,PRI,J LUIS ROBERTO MARTINEZ ZAMACONA,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,COPANDARO,PRI,JOSE JAIME GARCIA DOMINGUEZ,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,COTIJA,CC,ALBERTO CONTRERAS MENDOZA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,COTIJA,CC,JOSE MENDOZA MORFIN,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,COTIJA,COAL,AURELIO SANTOS CONTRERAS,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,COTIJA,COALICIoN,ANTONIO BARAJAS VALENCIA,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,COTIJA,PAN,YOLANDA SANCHEZ FIGUEROA,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,COTIJA,PRD,JOSE MARAVILLA ESPINOZA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,COTIJA,PRD,JOSE MARAVILLA ESPINOZA,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,COTIJA,PRD,RAFAEL MORFIN MORFIN,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,COTIJA,PRI,SAUL MENDOZA AVILES,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,COTIJA,PVEM,LUIS MEJIA ARROYO,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CUITZEO,CC,FERNANDO ALVARADO RANGEL,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,CUITZEO,COAL,JUAN MASCOTE SESENTO,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,CUITZEO,COAL,ROSA ELIA MILAN PINTOR,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,CUITZEO,PAN,JOSE LUIS REYES CONEJO,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,CUITZEO,PNA,FERNANDO ALVARADO RANGEL,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,CUITZEO,PRD,JAIME SAUNO RAMOS,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,CUITZEO,PRI,NOE CONTRERAS VEGA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,CUITZEO,PRI,SALVADOR CONEJO CASTILLO,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,CUITZEO,PRI,YASSER CASTRO ARELLANO,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,CUITZEO,PT,GERARDO ZURITA CASTRO,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,ECUANDUREO,CC,J JESUS INFANTE AYALA,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,ECUANDUREO,COAL,FRANCISCO TORRES RAMIREZ,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,ECUANDUREO,COAL,J JESUS INFANTE AYALA,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,ECUANDUREO,COAL,J JESUS INFANTE AYALA,del 01-Sep-2021 al 31-Ago-2024,2021
MICHOACAN DE OCAMPO,ECUANDUREO,PRD,ESTEBAN TRUJILLO GALVAN,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,ECUANDUREO,PRI,CRISTOBAL QUINTERO MIRANDA,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,ECUANDUREO,PRI,DAVID VAZQUEZ CHAVEZ,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,ECUANDUREO,PRI,HERIBERTO NARES REYES,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,ECUANDUREO,PRI,JOSE LUIS ARCIGA SUAREZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,ECUANDUREO,PRI,SALVADOR MARTINEZ RAYA,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,EPITACIO HUERTA,COAL,MARGARITO FIERROS TANO,del 01-Ene-2008 al 31-Dic-2011,2008
MICHOACAN DE OCAMPO,EPITACIO HUERTA,COAL,MARGARITO FIERROS TANO,del 01-Sep-2018 al 31-Ago-2021,2019
MICHOACAN DE OCAMPO,EPITACIO HUERTA,COAL,MIGUEL ANGEL VEGA JASSO,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,EPITACIO HUERTA,COALICIoN,GUSTAVO MAYA GONZALEZ,del 01-Ene-2005 al 31-Dic-2007,2005
MICHOACAN DE OCAMPO,EPITACIO HUERTA,MNU,SIXTO GONZALEZ GRANADOS,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,EPITACIO HUERTA,PAN,FRANCISCO MAYA MORALES,del 01-Sep-2021 al 31-Ago-2024,2022
MICHOACAN DE OCAMPO,EPITACIO HUERTA,PRI,ANTONIO ORTIZ MORALES,del 01-Ene-1996 al 31-Dic-1998,1996
MICHOACAN DE OCAMPO,EPITACIO HUERTA,PRI,FERNANDO URIBE MONTESINOS,del 01-Ene-2002 al 31-Dic-2004,2002
MICHOACAN DE OCAMPO,EPITACIO HUERTA,PRI,GUSTAVO MAYA GONZALEZ,del 01-Ene-1999 al 31-Dic-2001,1999
MICHOACAN DE OCAMPO,EPITACIO HUERTA,PRI,SALVADOR PEREZ MARTINEZ,del 01-Ene-1993 al 31-Dic-1995,1993
MICHOACAN DE OCAMPO,ERONGARICUARO,CC,EVERARDO JOSE ALBERTO CORTES,del 01-Ene-2012 al 14-Ago-2015,2012
MICHOACAN DE OCAMPO,ERONGARICUARO,COAL,ADRIAN MARCIAL MELGOZA NOVOA,del 01-Sep-2015 al 31-Ago-2018,2016
MICHOACAN DE OCAMPO,ERONGARICUARO,COAL,JOSE ELEAZAR APARACIO TERCERO,del 01-Ene-2008 al 31-Dic-2011,2008
